,comment,course_id,ratio
9914,I recommend this course for every beginner in data science.,6JyoHjVOEeWBMQ5pdIoFkQ,0.909090909091
9915,Great course !!!,6JyoHjVOEeWBMQ5pdIoFkQ,0.666666666667
9916,Very nice course with introduction to Data analysis!,6JyoHjVOEeWBMQ5pdIoFkQ,0.888888888889
9917,"I am disappointed because the course doesn't provide profound material on data analysis with python. The videos are too short and the samples demonstrated in the videos aren't thoroughly explained. For instance, the speaker often only says what she is doing but not WHY she is doing it or what the function of a particular parameter is. I felt left alone and forced to google. In my opinion it cannot be the purpose to make your student google basic things that could easily be integrated into the course.Considering that this is labelled as a beginner course I was expecting much more theoretical input. Other courses offer additional slides and scripts that are aligend with the course videos and allow the students to look things up.",6JyoHjVOEeWBMQ5pdIoFkQ,0.528985507246
9918,Excellent course. I do recommend this course for anyone who is interested in analytics. ,6JyoHjVOEeWBMQ5pdIoFkQ,0.8125
9919,"I would prefer more coding example provided by the professor, I will be super useful.",6JyoHjVOEeWBMQ5pdIoFkQ,0.764705882353
9920,The course was informative and stretched me a bit. ,6JyoHjVOEeWBMQ5pdIoFkQ,0.8
9921,The course is really helpful for beginners and is explained in a very simple manner.,6JyoHjVOEeWBMQ5pdIoFkQ,0.75
9922,"The instructions for submitting through Tumblr are not specific enough, especially after Week 1. ",6JyoHjVOEeWBMQ5pdIoFkQ,0.625
9923,Terrible. A waste of time and money. I recommend doing Statistics with R from Duke instead. This one should be taken off coursera.,6JyoHjVOEeWBMQ5pdIoFkQ,0.814814814815
9924,"As an English speaking student, I felt this course was easy to follow and translated a complex subject into a step by step process of interpreting data. I like the hands-on development of a research question and learning the SAS and PYTHON Data Analytic software coding to extrapolate information from data sets. I didn't like the fact that it was difficult to get an instructor to respond in the forums and very difficult figuring out how to contact Coursera with any problems. ",6JyoHjVOEeWBMQ5pdIoFkQ,0.544444444444
9925,Great course! Thanks!,6JyoHjVOEeWBMQ5pdIoFkQ,0.6
9926,Perfect for beginners,6JyoHjVOEeWBMQ5pdIoFkQ,0.666666666667
9927,"Being the first ever course I took seriously with, it was fun and a new experience. Liked it. The way of teaching, the unique grading technique used by coursera, the tutors were perfect and to sum it up it was much more than I expected.",6JyoHjVOEeWBMQ5pdIoFkQ,0.627450980392
9928,got to grips with SAS,6JyoHjVOEeWBMQ5pdIoFkQ,0.6
9929,Very helpful videos and clear explanations. Easy to follow up.,6JyoHjVOEeWBMQ5pdIoFkQ,0.666666666667
9930,"The course is great otherwise, however the certificate of this course just completed 'Data Management and Visualization' with no mention about the skills learnt or the grade attained. Primary reason I enrolled to the course was to list 'SAS' (basic) as a skill in my resume, however the certificate does not mention anything about SAS. If at least the certificate said completed 'Data Management and Visualization with SAS', it would be a good value for money. I strongly recommend Coursera should look into this. Thanks!",6JyoHjVOEeWBMQ5pdIoFkQ,0.55
9931,Excellent...,6JyoHjVOEeWBMQ5pdIoFkQ,0.5
9932,This is a good course. I have done stats in the past so i was using this as a refresher but also to advance my python skills a bit more. I think you should take an introduction course to python first. you will get more out of the coding examples. I suggest the Intro to Python by the University of Toronto at Coursera. I found that to be an excellent course.I find that in these lectures they do a great job in explaining the stats theory. They do not dwell to much into the science behind it but more the applicability. This is all good. You can simply do a little additional research and get the pure science behind of it all,6JyoHjVOEeWBMQ5pdIoFkQ,0.5
9933,perfect first touch with data management,6JyoHjVOEeWBMQ5pdIoFkQ,1.0
9934,Very good summarization and introduction of data analysis process,6JyoHjVOEeWBMQ5pdIoFkQ,1.0
9935,Course content good but a little too basic in my eyes. I think the addition of more functions in SAS/Python would be useful. Having to do peer reviews is also not ideal.,6JyoHjVOEeWBMQ5pdIoFkQ,0.72972972973
9936,"A decent start for anyone interested in learning the basics. However, please make sure you add extra efforts from your end in understanding stats concepts if you are totally new to the subject as well as browsing things related to usage of SAS or python. The course touches only the basics so it is up the learner to explore and learn more about interested statistical tool.",6JyoHjVOEeWBMQ5pdIoFkQ,0.685714285714
9937,Totally just marketing materials! Don't waste your time with this school at all! You cannot learn a program in a couple of minutes! ,6JyoHjVOEeWBMQ5pdIoFkQ,0.75
9938,"A very beginner level course aimed at starters who dont have much experience with Data. Emphasis was on teaching Data Management with area of our interest. In Order to support this, assignments didnt had clear objective. I would have learnt a lot more through a course had they been more defined assignments.Not a course if you are looking to be ready for data related interviews. However, this course will be okay if you are working on some other field and want data management as an extra skillset.",6JyoHjVOEeWBMQ5pdIoFkQ,0.625
